uid,eid,rid,id,title,stime,creator_company,creator_occupation,sign,creator_uname,browsecount,crawler_time
1214443,10047466,0,85762,东吴电新 | 福莱特2022Q1业绩交流电话会,2022-04-27 19:00:00,东吴证券,电新首席分析师,东吴电新首席分析师,曾朵红,969,2022-05-05 16:23:36
1302758,10047968,0,86276,浙商电新 | 东方日升（300118）2021年报&2022一季报业绩交流会,2022-04-27 19:00:00,浙商证券股份有限公司,研究所所长,聚焦成长 价值发现,浙商证券研究所,589,2022-05-05 16:23:36
1231553,10005644,0,79919,长江电新 | 追光系列第47期：德业股份一季度业绩预增解读,2022-03-28 08:30:00,长江证券,电新行业组长,长江证券电新行业组长,马军,756,2022-05-05 16:23:36
1258885,10021552,0,56884,长江地产 | 大悦城商业领导交流,2021-09-02 09:00:00,长江证券,地产团队负责人,长江证券 地产团队 负责人,刘义,196,2022-05-05 16:23:36
1317175,10046512,0,84752,国君高端装备｜怡合达（301029）2021年年报及经营近况解读电话会,2022-05-05 16:30:00,国泰君安证券,研究所,引领金融服务 共悦财富人生,国泰君安证券研究所,60,2022-05-05 16:23:36
2320591,10046469,0,84707,赛意信息（300687）2021年度报告业绩交流会,2022-05-05 16:30:00,,,超越，本应如此！,赛意信息,147,2022-05-05 16:23:36
1182351,10048183,0,86497,浙商交运建筑 | 青岛港2022年一季报业绩交流会,2022-05-05 16:30:00,浙商证券,交运建筑首席分析师,浙商证券研究所交运建筑首席分析师，2021年金麒麟新锐第一、新财富入围；2019年水晶球第一、新财富入围。,匡培钦@浙商交运建筑首席,24,2022-05-05 16:23:36
1180976,10049190,0,87558,海通证券 | 交运团队 华夏航空电话会议,2022-05-05 16:30:00,海通证券,海通证券研究所,海纳百川 通向辉煌,海通证券研究所,21,2022-05-05 16:23:36
1614390,10049324,0,87703,民生军工 | 中航重机一季报及全年展望交流,2022-05-05 16:30:00,民生证券研究所,,民生在勤 守正出新,民生证券研究院,35,2022-05-05 16:23:39
1356360,10046868,0,85117,兴证建筑 | 2022年春季线上策略会 - 苏文电能近况交流,2022-05-05 16:30:00,兴业证券,研究所,稳健规范、长远发展,兴业证券经济与金融研究院,48,2022-05-05 16:23:39
1448012,10048926,0,87271,华鑫传媒 | 恺英网络近期进展交流,2022-05-05 16:30:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,23,2022-05-05 16:23:39
1448012,10048943,0,87288,华鑫食饮 | 中炬高新近期进展交流,2022-05-05 17:00:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,33,2022-05-05 16:23:39
1268223,10049108,0,87466,长江固收 | 华翔转债/华翔股份线上交流调研,2022-05-05 15:30:00,长江证券,固定收益首席分析师,长江证券固收团队负责人,吕品,70,2022-05-05 16:23:39
1257051,10046799,0,85045,中信建投 | 万盛股份2021年报&2022一季报解读会议,2022-05-05 15:30:00,中信建投证券,化工行业分析师,中信建投能源开采与石化首席分析师,邓胜,69,2022-05-05 16:23:39
1680235,10049078,0,87435,弘则科技 | 上市公司调研电话会 - 世华科技业绩说明会,2022-05-05 15:30:00,弘则研究,,专注为全球和中国投资者提供中立客观的研究服务,弘则研究,28,2022-05-05 16:23:39
1665106,10049261,0,87636,国海策略｜ 国鹏论策第11期 - 5月月报：柳暗花明,2022-05-05 15:30:00,国海证券,研究所,心怀家国，洞悉四海,国海证券研究所,87,2022-05-05 16:23:39
1944845,10048496,0,86820,奥飞娱乐（002292）2021年年度暨2022年一季度业绩说明会,2022-05-05 15:10:00,,,让快乐与梦想无处不在,奥飞娱乐,191,2022-05-05 16:23:39
1302758,10048872,0,87213,浙商电新 | 卧龙电驱（600580）2021年报&2022一季报业绩解读电话会议,2022-05-05 15:00:01,浙商证券股份有限公司,研究所所长,聚焦成长 价值发现,浙商证券研究所,53,2022-05-05 16:23:39
1534239,10045953,0,84167,中信证券 | 中航科工经营情况交流,2022-05-05 15:00:00,中信证券,中信证券研究所,激情、创新、整合、卓越,中信证券研究部,127,2022-05-05 16:23:39
1186112,10048374,0,86697,招商证券 | 安洁科技小范围交流会,2022-05-05 15:00:00,招商证券,电子行业首席分析师,招商证券电子行业首席分析师,鄢凡,101,2022-05-05 16:23:39
1221770,10049034,0,87390,广发农业 | 中宠股份一季报解读,2022-05-05 15:00:00,广发证券,广发证券发展研究中心,或许不是最耀眼 总比预期好一点,广发证券发展研究中心,57,2022-05-05 16:23:39
1448012,10048929,0,87274,华鑫医药 | 盘龙药业近期进展交流,2022-05-05 15:00:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,60,2022-05-05 16:23:39
1154678,10049130,0,87488,天风家电｜九阳股份交流,2022-05-05 15:00:00,天风证券,天风证券研究所,致力做最好的投研服务,天风证券研究所,98,2022-05-05 16:23:39
1173009,10045614,218898,83810,申万宏源轻工 | 麒盛科技（603610）2022年一季报业绩交流电话会议,2022-05-05 15:00:00,申万宏源证券机构事业部,@sws,唯实求新 厚德笃行,申万宏源证券研究所,59,2022-05-05 16:23:39
1448012,10049280,0,87656,华鑫电子 | 东华测试近期进展交流,2022-05-05 15:00:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,94,2022-05-05 16:23:39
1265844,10047826,218913,86130,国信交运 | 中远海控一季报及经营近况交流,2022-05-05 15:00:00,国信证券研究所,,同心同行,国信证券经济研究所,179,2022-05-05 16:23:39
