,date,name,SecuCode,SecuCategory,ListedState
10,2021-12-03,晶赛科技,871981,1.0,1.0
4,2021-12-30,智新电子,837212,1.0,1.0
172,2022-03-16,有研新材,600206,1.0,1.0
176,2021-09-17,杉杉股份,600884,1.0,1.0
4885,2020-02-19,林洋能源,601222,1.0,1.0
203,2021-09-14,格林美,002340,1.0,1.0
1947,2022-02-23,梦百合,603313,1.0,1.0
1987,2020-03-01,正泰电器,601877,1.0,1.0
1953,2022-01-18,汇丰晋信,,,
706,2021-11-04,江苏银行,600919,1.0,1.0
103,2021-12-21,泰坦科技,688133,1.0,1.0
125,2020-02-04,泰格医药,300347,1.0,1.0
106,2021-12-21,洁特生物,688026,1.0,1.0
7,2021-12-15,流金岁月,834021,1.0,1.0
85,2021-12-27,济川药业,600566,1.0,1.0
1973,2020-04-03,海油工程,600583,1.0,1.0
46,2021-12-21,润邦股份,002483,1.0,1.0
193,2021-01-11,深南电路,002916,1.0,1.0
44,2021-12-23,港华燃气,,,
162,2021-09-10,湖南黄金,002155,1.0,1.0
1986,2020-03-06,爱旭股份,600732,1.0,1.0
1975,2020-03-29,牛栏山,,,
146,2021-12-07,玉马遮阳,300993,1.0,1.0
1934,2020-02-07,珠江啤酒,002461,1.0,1.0
1956,2021-12-30,百龙创园,605016,1.0,1.0
1972,2020-04-14,盈趣科技,002925,1.0,1.0
1958,2021-10-20,盘京投资,,,
158,2022-03-17,盛和资源,600392,1.0,1.0
132,2022-01-06,盾安环境,002011,1.0,1.0
1994,2020-02-20,石大胜华,603026,1.0,1.0
229,2022-01-20,神州信息,000555,1.0,1.0
218,2021-09-07,福斯特,603806,1.0,1.0
66,2021-09-22,福能股份,600483,1.0,1.0
179,2021-04-07,科士达,002518,1.0,1.0
144,2021-12-13,科顺股份,300737,1.0,1.0
129,2020-04-28,红相股份,300427,1.0,1.0
1983,2020-03-13,经纬辉开,300120,1.0,1.0
1928,2021-07-01,绝味食品,603517,1.0,1.0
1924,2021-12-27,绝味食品,603517,1.0,1.0
1967,2020-04-27,绝味食品,603517,1.0,1.0
88,2021-12-24,美迪西,688202,1.0,1.0
84,2021-12-27,羚锐制药,600285,1.0,1.0
177,2021-02-20,联泓新科,003022,1.0,1.0
108,2021-12-01,联邦制药,,,
1969,2020-04-24,良信电器,,,
118,2020-02-19,艾德生物,300685,1.0,1.0
183,2022-01-14,芯海科技,688595,1.0,1.0
147,2021-11-19,苏博特,603916,1.0,1.0
45,2021-12-22,苏文电能,300982,1.0,1.0
16,2021-11-19,苏轴股份,430418,1.0,1.0
255,2020-04-07,英联股份,002846,1.0,1.0
101,2021-12-23,药明生物,,,
120,2020-02-14,蓝帆医疗,002382,1.0,1.0
173,2022-01-09,西子洁能,002534,1.0,1.0
109,2021-11-25,诺唯赞,688105,1.0,1.0
5994,2020-02-14,诺德股份,600110,1.0,1.0
80,2021-12-28,诺泰生物,688076,1.0,1.0
99,2021-12-23,诺泰生物,688076,1.0,1.0
70,2022-01-10,诺辉健康,,,
1995,2020-02-20,赛意信息,300687,1.0,1.0
191,2021-01-22,赛晶科技,,,
160,2022-03-09,赤峰黄金,600988,1.0,1.0
114,2020-05-06,达安基因,002030,1.0,1.0
95,2021-12-23,迈得医疗,688310,1.0,1.0
5995,2020-02-03,迪安诊断,300244,1.0,1.0
117,2020-03-10,通策医疗,600763,1.0,1.0
643,2022-01-18,邮储银行,601658,1.0,1.0
1925,2021-12-27,重庆啤酒,600132,1.0,1.0
278,2020-03-06,金能科技,603113,1.0,1.0
1,2022-01-19,锦好医疗,872925,1.0,1.0
236,2022-01-13,长亮科技,300348,1.0,1.0
14,2021-11-23,长虹能源,836239,1.0,1.0
90,2021-12-24,阿拉丁,688179,1.0,1.0
260,2021-11-26,陕西煤业,601225,1.0,1.0
5993,2020-02-17,雅化集团,002497,1.0,1.0
1992,2020-02-26,雪人股份,002639,1.0,1.0
231,2022-01-19,顶点软件,603383,1.0,1.0
175,2021-11-15,高测股份,688556,1.0,1.0
119,2020-02-17,鱼跃医疗,002223,1.0,1.0
1962,2020-05-28,鲁亿通,,,
1985,2020-03-10,鹏辉能源,300438,1.0,1.0
1950,2022-01-25,黑猫股份,002068,1.0,1.0
1960,2020-06-03,黑猫股份,002068,1.0,1.0
161,2021-12-22,鼎胜新材,603876,1.0,1.0
12,2021-11-26,龙竹科技,831445,1.0,1.0
