,date,name,SecuCode,SecuCategory,ListedState
16007940,2020-02-26 00:00:00,纽威股份,603699,1.0,1.0
6081379,2020/9/10-11,绍兴旗滨,,,
6087386,2020/11/3-10,继峰股份,603997,1.0,1.0
16007941,2020-03-06 00:00:00,维信诺,002387,1.0,1.0
6289918,2019-03-04 00:00:00,绿茵生态,002887,1.0,1.0
16007942,2020-02-07 00:00:00,美亚柏科,300188,1.0,1.0
16007943,2020-03-17 00:00:00,美尚生态,300495,1.0,1.0
3444585,2020/5/22-28,老凤祥,600612,1.0,1.0
16007944,2020-03-11 00:00:00,联美控股,600167,1.0,1.0
16007945,2020-02-06 00:00:00,能科股份,,,
16007946,2020-05-19 00:00:00,能科股份,,,
16007947,2020-02-07 00:00:00,航天信息,600271,1.0,1.0
406973,2020/11/3-10,花智控制,,,
16007949,2020-09-21 00:00:00,苏博特,603916,1.0,1.0
16007950,2020-02-03 00:00:00,药明康德,603259,1.0,1.0
16007951,2019-06-24 00:00:00,药明康德,603259,1.0,1.0
16007952,2019-06-24 00:00:00,药明康德,603259,1.0,1.0
16007953,2020-02-10 00:00:00,蒙娜丽莎,002918,1.0,1.0
16006843,2020-12-23 00:00:00,蒙娜丽莎,002918,1.0,1.0
6289919,2019-03-04 00:00:00,蒙草生态,300355,1.0,1.0
6081376,2020-11-17 00:00:00,视觉中国,000681,1.0,1.0
16007956,2020-02-14 00:00:00,诺德股份,600110,1.0,1.0
16007957,2020-11-26 00:00:00,豆神教育,300010,1.0,1.0
16007958,2020-02-19 00:00:00,豫园股份,600655,1.0,1.0
3444583,2020/5/25-29,贵研铂业,600459,1.0,1.0
6085343,2020/6/1-5,赛伍股份,,,
16007959,2020-02-07 00:00:00,赢合科技,300457,1.0,1.0
15804141,2020-11-27 00:00:00,通富微电,002156,1.0,1.0
3647015,2020/5/22-28,重庆百货,600729,1.0,1.0
6081788,2020/9/3-4,重庆银行,601963,1.0,1.0
6082560,2020/11/11-13,重庆银行,601963,1.0,1.0
16007966,2020-02-03 00:00:00,金卡智能,300349,1.0,1.0
3444532,2020/1/8-9,金地集团,600383,1.0,1.0
16007967,2020-02-13 00:00:00,金螳螂,002081,1.0,1.0
16007974,2020-02-25 00:00:00,银泰黄金,000975,1.0,1.0
16007975,2020-07-10 00:00:00,银泰黄金,000975,1.0,1.0
4258290,2020/11/3-10,长城汽车,601633,1.0,1.0
16007976,2020-02-10 00:00:00,长安汽车,000625,1.0,1.0
16007981,2020-05-14 00:00:00,长安汽车,000625,1.0,1.0
16007986,2020-05-15 00:00:00,长安福特,,,
6086861,2020/11/11-13,长沙银行,601577,1.0,1.0
6082826,2020/11/10-12,长海股份,300196,1.0,1.0
6289922,2020-01-03 00:00:00,震安科技,300767,1.0,1.0
16007987,2020-02-25 00:00:00,震安科技,300767,1.0,1.0
6082827,2020-06-19 00:00:00,顺网科技,300113,1.0,1.0
16007988,2020-05-07 00:00:00,风华高科,000636,1.0,1.0
6289923,2019-03-04 00:00:00,首开股份,600376,1.0,1.0
16007991,2020-02-03 00:00:00,高能环境,603588,1.0,1.0
16007994,2020-02-02 00:00:00,鱼跃医疗,002223,1.0,1.0
6289958,2019-03-04 00:00:00,鲁西化工,000830,1.0,1.0
