,0
14049,'上海世诚投资景熙资产申万宏源证券浦银安盛上海易正朗投资昆仑健康保险
16962,'上海世诚投资管理有限公司海南拓璞私募基金管理有限公司国投聚力投资管理有限公司浙江浙商证券资产管理有限公司国开证券股份有限公司
14339,'上海世诚投资管理有限公司海通证券股份有限公司国金证券股份有限公司上海尚雅投资管理有限公司永安国富资产管理有限公司
10948,'上海世诚投资管理有限公司群益证券投资信托股份有限公司
17066,'上海世诚投资管理有限公司财通证券股份有限公司上海泰旸资产管理有限公司大成基金管理有限公司
797,'上海世诚投资管理西部证券
12489,'上海东恺投资庞舒然光大证券蔡昌根人保资产李东正新华资产赵斌清和泉资本陶奕光大证券
4848,'上海东方证券
629,'上海东方证券刘瑞东吴基金
7298,'上海东方证券创新投资有限公司
10727,'上海东方证券创新石兰广发基金
7652,'上海东方证券资产管理公司
9143,'上海东方证券资产管理方晓东兴基金温阳中信保诚基金闾志刚中信保诚基金
2225,'上海东方证券资产管理有限公司
9345,'上海东方证券资产管理有限公司东海基金管理有限责任公司长盛基金管理有限公司华泰柏瑞基金管理有限公司兴业基金管理有限公司泰达宏利基金管理有限公司万家基金管理有限公司中金基金管理有限公司中银基金管理有限公司浙商基金管理有限公司恒越基金管理有限公司
12137,'上海东方证券资产管理有限公司中信证券北京鼎萨投资有限公司
9171,'上海东方证券资产管理有限公司中意资产管理有限责任公司中信银行股份有限公司招商银行股份有限公司中国人寿资产管理有限公司中国人保资产管理有限公司浙江翊晟资产管理有限公司永安国富资产管理有限公司阳光资产管理股份有限公司亚太财产保险有限公司兴业银行股份有限公司
5603,'上海东方证券资产管理有限公司中海基金管理有限公司
12740,'上海东方证券资产管理有限公司付浩平安基金田江上海鼎锋资产管理有限公司
9724,'上海东方证券资产管理有限公司兴证全球基金管理有限公司永赢基金管理有限公司平安养老保险股份有限公司
14530,'上海东方证券资产管理有限公司吴丹兴业银行股份有限公司资产管理部郦莉中银国际证券有限责任公司陆莎莎钦沐资产管理有限公司董瑜恒泰证券
15285,'上海东方证券资产管理有限公司姜荷泽博时基金管理有限公司唐晟博中欧基金管理有限公司
4309,'上海东方证券资产管理有限公司徐霄杭州遂玖资产管理有限公司
13012,'上海东方证券资产管理有限公司段非上海鼎锋资产管理有限公司
7907,'上海东方证券资产管理有限公司浦发银行理财公司民生通惠资产管理有限公司中海基金管理有限公司
12244,'上海东方证券资产管理有限公司海富通基金管理有限公司东兴证券股份有限公司平安资产管理有限责任公司
13252,'上海东方证券资产管理有限公司程碧升海通研究所
7637,'上海东方证券资产管理有限公司蔡毓伟杭州红骅投资管理有限公司陈杰国泰基金管理有限公司
10328,'上海东方证券资产管理有限公司虞圳劬天安人寿曹勇天弘基金陈国光天弘基金张磊天弘基金
12372,'上海东方证券资管柴大为
8721,'上海东方证券资管财通基金
13182,'上海东澄资产研究员李圣春诺德基金基金经理王中进兴业证券投资经理章欣中电鑫安基金
9119,'上海中域投资有限公司东海证券有限责任公司
8535,'上海中域资管国金证券
3702,'上海中域资管长江证券
809,'上海中润投资中信建投证券
16297,'上海中润投资有限公司东海证券上海证券自营分公司
10394,'上海中融基金中航基金中银国际证券
4704,'上海久奕投资管理有限公司王鑫莉建信基金管理有限责任公司李登虎吉渊投资管理有限公司陈杰湖南源乘投资管理有限公司唐亚丹东北证券上海自营分公司
15148,'上海久期投资有限公司久期投资杜宛泽纺织服装分析师天风证券股份有限公司
5091,'上海久期投资有限公司华宝基金管理有限公司富达国际中天证券股份有限公司
11327,'上海乾惕投资常吉国泰君安证券孙沙深圳前海无锋基金
3010,'上海云门投资管理有限公司东海证券股份有限公司
16569,'上海亘通投资管理有限公司东方证券股份有限公司
10831,'上海京笙投资颜珊华创证券
6793,'上海人寿保险中银国际证券
14933,'上海人寿保险股份有限公司广发证券资产管理广东有限公司招商基金管理有限公司中国民生银行股份有限公司
3187,'上海人寿研究部牛致远长城证券
5648,'上海仁布投资管理有限公司兴业医药中泰证券资产管理有限公司
6991,'上海从容投资管理有限公司尹涛资本动力基金周赢中原农险景明中乾景隆刘杰宏流投资金朝晖招商证券付东召联资本赖伟杰平安资产管理有限责任公司顾军蕾宏道投资药建峰博道投资
13551,'上海代表处东方证券股份有限公司新城控股集团股份东海基金管理有限责任公司新华基金管理有限公司东海证券股份有限公司新华信托股份有限公司东吴基金管理有限公司新华资产管理股份有限公司东吴人寿保险股份有限公司鑫元基金管理有限公司东吴证券股份有限公司信达澳银基金管理有限公司东兴基金管理有限公司信达证券股份有限公司东证融汇证券资产管理有限公司兴业国际信托有限公司方圆投资管理香港有限公司兴业基金管理有限公司方正证券股份有限公司兴业银行股份有限公司沣京资本管理北京有限公司兴业证券股份有限公司蜂巢基金管理有限公司兴银基金管理有限责任公司福建泽源资产管理有限公司兴证全球基金管理有限公司复华证券投资信托股份有限公司兴证证券资产管理有限公司复星保德信人寿保险有限公司亚太财产保险有限公司富安达基金管理有限公司阳光资产管理股份有限公司富国基金管理有限公司野村东方国际证券有限公司富荣基金管理有限公司野村投资管理上海有限公司歌斐资产管理有限责任公司易方达基金管理有限公司亘曦资产管理有限公司易米基金管理有限公司工银安盛资产管理有限公司易鑫安资产管理有限公司工银瑞信基金管理有限公司益民基金管理有限公司光大保德信基金管理有限公司益尚资本有限公司光大兴陇信托有限责任公司翊安上海投资有限公司光大证券股份有限公司银河基金管理有限公司光大证券资产管理有限公司银华基金管理股份有限公司广东汇谷投资有限公司盈峰资本管理有限公司广东竣弘投资管理有限责任公司永安国富资产管理有限公司广东奶酪投资基金股份有限公司永赢基金管理有限公司广发基金管理有限公司涌金资产管理有限公司广发证券资产管理广东有限公司友邦保险资产管理有限公司广银理财有限责任公司友邦投资管理香港有限公司广州君创私募证券投资管理有限公司誉辉资本管理北京有限责任公司广州市圆石投资管理有限公司元大证券投资信托股份有限公司国都证券股份有限公司圆信永丰基金管理有限公司国海证券股份有限公司源峰基金管理有限公司国华兴益资产管理有限公司云栖资本有限公司国金基金管理有限公司长安基金管理有限公司国金证券上海自营分公司长城基金管理有限公司国联安基金管理有限公司长江养老保险股份有限公司
12924,'上海代表处德邦基金长盛基金管理有限公司平安银行总行海通证券资产管理有限公司
10221,'上海代表处海通证券华泰证券
3988,'上海优优财富投资管理有限公司深圳圆一圆投资有限公司华福证券股份有限公司前海人寿保险股份有限公司五矿证券有限公司
13554,'上海佳锐信息科技股份有限公司海通证券股份有限公司研究所
472,'上海保银投资海通证券
7826,'上海保银投资管理有限公司光大证券股份有限公司兴业证券股份有限公司农业银行资产管理部前海开源基金管理有限公司
4977,'上海保银投资顾问有限公司陈华国联证券股份有限公司刘生平金鹰基金管理有限公司倪超东吴证券股份有限公司许希晨东吴证券股份有限公司洪阳瑞士信贷香港有限公司王婷翔鹰资产管理有限公司吴宏奇中国国际金融有限公司邹朋大成基金管理有限公司
10830,'上海保银投资顾问有限公司高盛高华贝莱德中银国际证券有限责任公司
6572,'上海信托陆方东吴证券
234,'上海信隆行信息科技股份有限公司华宝兴业基金公司东兴证券股份有限公司
14230,'上海元泓投资林洲平沣杨资产石晋豪开源证券股份有限公司熊迪一东北证券
9827,'上海光大证券
16073,'上海光大证券资产管理有限公司
5650,'上海光大证券资产管理有限公司上海富善投资有限公司
8846,'上海光大证券资产管理有限公司中海基金北京源乐晟资产管理有限公司阳光资产摩根士丹利华鑫基金管理有限公司富国基金中意资产管理有限责任公司汇添富基金博道基金管理有限公司野村证券浙商基金管理有限公司首创证券东吴基金管理有限公司华西证券进门财经中泰证券中信建投基金管理有限公司
5198,'上海光大证券资产管理有限公司中电科投资部中金公司资产管理部光大保德信资产管理有限公司创金合信基金华夏银行深圳前海华杉投资管理有限公司大成基金管理有限公司摩根士丹利华鑫基金天风上海证券资产管理有限公司广发基金管理有限公司广发证券资产管理有限公司康曼德资本管理有限公司
6342,'上海光大证券资产管理有限公司华夏基金管理有限公司
12008,'上海光大证券资产管理有限公司太平资产管理有限公司太平洋资产管理有限责任公司
5600,'上海光大证券资产管理有限公司李根林西南证券投资部自营陈笑宇国联安基金管理有限公司晏磊中信证券资产管理部龙云露招商银行股份有限公司研究院王颖信诚基金管理有限公司郭蕊信银理财有限责任公司
6783,'上海光大证券资产管理有限公司泰信基金管理有限公司兴业证券股份有限公司自营兴银基金管理有限责任公司兴全基金管理有限公司
3346,'上海光大证券资产管理有限公司王杭东北证券张景玉中信保诚
2441,'上海六禾投资中信保诚基金西部利得基金鹏华基金平安资管东海基金长江证券自营太平基金国寿安保基金东吴基金
14699,'上海六禾投资代文超天治基金吴昊广发证券
1220,'上海六禾投资有限公司游晓慧中信证券股份有限公司
16839,'上海六禾投资有限公司证券投资部
